name,orbital_period,axial_tilt,mass,radius,type
Mercury,87.97,0.03,3.30e23,2439.7,Planet
Venus,224.7,177.4,4.87e24,6051.8,Planet
Earth,365.25,23.44,5.97e24,6371.0,Planet
Mars,686.97,25.19,6.42e23,3389.5,Planet
Jupiter,4332.59,3.13,1.90e27,69911.0,Planet
Saturn,10759.22,26.73,5.68e26,58232.0,Planet
Uranus,30688.5,97.77,8.68e25,25362.0,Planet
Neptune,60182.0,28.32,1.02e26,24622.0,Planet
Pluto,90560.0,119.59,1.31e22,1188.3,DwarfPlanet
Ceres,1681.63,4.0,9.39e20,476.2,DwarfPlanet
Eris,204199.0,78.3,1.66e22,1163.0,DwarfPlanet
Haumea,103774.0,28.19,4.01e21,816.0,DwarfPlanet
Makemake,111867.0,29.0,3.1e21,715.0,DwarfPlanet
Gonggong,153823.0,unknown,1.75e21,615.0,DwarfPlanet
Orcus,90160.0,unknown,6.32e20,459.0,DwarfPlanet
Vesta,1325.0,29.1,2.59e20,262.7,Asteroid
Pallas,1686.0,84.0,2.04e20,256.0,Asteroid
Hygiea,2031.0,23.0,8.67e19,217.0,Asteroid
Juno,1591.0,51.0,2.67e19,116.0,Asteroid
Eros,643.0,89.0,6.69e15,8.0,Asteroid
Bennu,437.0,177.6,7.33e10,0.245,Asteroid
Itokawa,557.0,178.0,3.51e10,0.165,Asteroid
Apophis,323.4,180.0,2.70e10,0.17,Asteroid
Psyche,1823.0,35.0,2.41e19,111.0,Asteroid
Halley,27507.0,162.0,2.20e14,5.5,Comet
Churyumov-Gerasimenko,2355.0,52.0,1.00e13,1.65,Comet
Moon,27.32,6.68,7.35e22,1737.4,Moon
Titan,15.95,0.0,1.34e23,2574.7,Moon
Ganymede,7.15,0.0,1.48e23,2634.1,Moon
Callisto,16.69,0.0,1.08e23,2410.3,Moon
Io,1.77,0.0,8.93e22,1821.6,Moon
Europa,3.55,0.0,4.80e22,1560.8,Moon
